game_id,season,week,kickoff,projected_total,opening_total,closing_total,actual_total,model_vs_open,abs_model_vs_open,model_direction,market_move,aligned_market_move,close_moved_toward_model,close_moved_away_from_model,close_unchanged,open_distance_to_model,close_distance_to_model,distance_improvement_toward_model,open_result_aligned,close_result_aligned,opening_edge_bucket,close_provider_range,open_books,close_books,calibration_n,market_total_residual,active_narrative_tags,narrative_tag_count,home_narrative_tags,away_narrative_tags,narrative_adjustment,narrative_tags_used,narrative_relation_to_fl,original_closing_result,adjusted_projected_total,adjusted_edge_vs_close,adjusted_direction,adjusted_aligned_residual,adjusted_closing_result,direction_changed_by_narrative,absolute_projection_error_original,absolute_projection_error_adjusted
401636941,2024,14,2024-11-30T17:00:00+00:00,58.10088811561568,61.5,62.166666666666664,62.0,-3.399111884384318,3.399111884384318,under,0.6666666666666643,-0.6666666666666643,False,True,False,3.399111884384318,4.0657785510509825,-0.6666666666666643,-0.5,0.1666666666666643,3-4.99,0.5,2,3,2675,-0.1666666666666643,statement_win|upset_win,2,,statement_win|upset_win,0.6726569005980771,statement_win|upset_win,opposes,win,58.77354501621376,-3.3931216504529047,under,0.1666666666666643,win,False,3.899111884384318,3.2264549837862404
401636945,2024,14,2024-11-30T17:00:00+00:00,62.11849487463583,64.5,62.833333333333336,67.0,-2.3815051253641712,2.3815051253641712,under,-1.6666666666666643,1.6666666666666643,True,False,False,2.3815051253641712,0.714838458697507,1.6666666666666643,-2.5,-4.166666666666664,2-2.99,3.0,2,3,2675,4.166666666666664,statement_win|upset_win|won_big_then_underdog,3,,statement_win|upset_win|won_big_then_underdog,1.0242649057422295,statement_win|upset_win|won_big_then_underdog,opposes,loss,63.14275978037806,0.30942644704472144,over,4.166666666666664,win,True,4.881505125364171,3.857240219621943
401643848,2024,14,2024-11-30T17:00:00+00:00,53.59839778223103,48.5,50.0,60.0,5.098397782231032,5.098397782231032,over,1.5,1.5,True,False,False,5.098397782231032,3.5983977822310322,1.5,11.5,10.0,5-7.99,1.0,2,3,2675,10.0,market_skepticism|market_lag|lookahead_candidate|sandwich_candidate|disputed_team,5,disputed_team,market_skepticism|market_lag|lookahead_candidate|sandwich_candidate|disputed_team,0.7115679728694292,market_skepticism|market_lag|lookahead_candidate|sandwich_candidate|disputed_team,agrees,win,54.309965755100464,4.309965755100464,over,10.0,win,False,6.401602217768968,5.690034244899536
401645378,2024,14,2024-11-30T17:00:00+00:00,53.59839778223103,54.5,53.166666666666664,53.0,-0.9016022177689678,0.9016022177689678,under,-1.3333333333333357,1.3333333333333357,True,False,False,0.9016022177689678,0.43173111556436794,0.4698711022045998,1.5,0.1666666666666643,<1,0.5,2,3,2675,-0.1666666666666643,bad_loss|bounceback_candidate|market_chase|lookahead_candidate|sandwich_candidate|disputed_team,6,bad_loss|bounceback_candidate|market_chase|lookahead_candidate|sandwich_candidate|disputed_team,disputed_team,0.7387958075577589,bad_loss|bounceback_candidate|market_chase|lookahead_candidate|sandwich_candidate|disputed_team,opposes,win,54.33719358978879,1.1705269231221251,over,-0.1666666666666643,loss,True,0.5983977822310322,1.3371935897887894
401645381,2024,14,2024-11-30T17:00:00+00:00,58.86284801818847,64.5,63.333333333333336,41.0,-5.637151981811527,5.637151981811527,under,-1.1666666666666643,1.1666666666666643,True,False,False,5.637151981811527,4.470485315144863,1.1666666666666643,23.5,22.333333333333336,5-7.99,0.5,2,3,2675,-22.333333333333336,bad_loss|bounceback_candidate|lookahead_candidate|sandwich_candidate,4,,bad_loss|bounceback_candidate|lookahead_candidate|sandwich_candidate,0.7961030289709825,bad_loss|bounceback_candidate|lookahead_candidate|sandwich_candidate,opposes,win,59.658951047159455,-3.6743822861738806,under,22.333333333333336,win,False,17.862848018188473,18.658951047159455
401644780,2024,14,2024-11-30T18:30:00+00:00,54.49889584890797,57.5,55.833333333333336,44.0,-3.0011041510920293,3.0011041510920293,under,-1.6666666666666643,1.6666666666666643,True,False,False,3.0011041510920293,1.334437484425365,1.6666666666666643,13.5,11.833333333333336,3-4.99,1.0,2,3,2675,-11.833333333333336,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate,5,upset_loss|bounceback_candidate|lookahead_candidate,bad_loss|bounceback_candidate|market_chase|lookahead_candidate,0.47576327705676374,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate,opposes,win,54.974659125964735,-0.8586742073686011,under,11.833333333333336,win,False,10.49889584890797,10.974659125964735
401640988,2024,14,2024-11-30T19:00:00+00:00,53.73693594633518,51.75,50.833333333333336,59.0,1.98693594633518,1.98693594633518,over,-0.9166666666666643,-0.9166666666666643,False,True,False,1.98693594633518,2.903602613001844,-0.9166666666666643,7.25,8.166666666666664,1-1.99,0.5,2,3,2675,8.166666666666664,bad_loss|upset_loss|bounceback_candidate|market_skepticism,4,upset_loss|bounceback_candidate|market_skepticism,bad_loss|upset_loss|bounceback_candidate,0.20092577409525084,bad_loss|upset_loss|bounceback_candidate|market_skepticism,agrees,win,53.93786172043043,3.1045283870970977,over,8.166666666666664,win,False,5.26306405366482,5.062138279569567
401643845,2024,14,2024-11-30T19:00:00+00:00,56.78477555662633,55.5,53.166666666666664,75.0,1.2847755566263288,1.2847755566263288,over,-2.3333333333333357,-2.3333333333333357,False,True,False,1.2847755566263288,3.6181088899596645,-2.3333333333333357,19.5,21.833333333333336,1-1.99,1.5,2,3,2675,21.833333333333336,statement_win|upset_win|bad_loss|bounceback_candidate|market_chase|market_lag|lookahead_candidate|sandwich_candidate|disputed_team,9,statement_win|upset_win|market_lag|lookahead_candidate|sandwich_candidate|disputed_team,bad_loss|bounceback_candidate|market_chase|lookahead_candidate|disputed_team,0.6698993212553279,statement_win|upset_win|bad_loss|bounceback_candidate|market_chase|market_lag|lookahead_candidate|sandwich_candidate|disputed_team,agrees,win,57.45467487788166,4.2880082112149935,over,21.833333333333336,win,False,18.21522444337367,17.545325122118342
401643849,2024,14,2024-11-30T19:00:00+00:00,53.45985961812689,48.5,48.833333333333336,72.0,4.959859618126892,4.959859618126892,over,0.3333333333333357,0.3333333333333357,True,False,False,4.959859618126892,4.626526284793556,0.3333333333333357,23.5,23.166666666666664,3-4.99,0.5,2,3,2675,23.166666666666664,bad_loss|bounceback_candidate|market_skepticism|market_chase|disputed_team,5,bad_loss|bounceback_candidate|market_skepticism|market_chase|disputed_team,disputed_team,0.3498576096131697,bad_loss|bounceback_candidate|market_skepticism|market_chase|disputed_team,agrees,win,53.80971722774006,4.976383894406723,over,23.166666666666664,win,False,18.54014038187311,18.19028277225994
401645382,2024,14,2024-11-30T19:00:00+00:00,54.083281356595535,53.25,53.833333333333336,63.0,0.8332813565955348,0.8332813565955348,over,0.5833333333333357,0.5833333333333357,True,False,False,0.8332813565955348,0.24994802326219911,0.5833333333333357,9.75,9.166666666666664,<1,0.5,2,3,2675,9.166666666666664,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate|disputed_team,6,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate|disputed_team,lookahead_candidate,0.5319415310226313,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate|disputed_team,agrees,win,54.61522288761817,0.781889554284831,over,9.166666666666664,win,False,8.916718643404465,8.384777112381833
